Topic,Question / Requirement,Priority,Needed before owner demo?,Decision / Working Assumption,Owner,Status,Progress,
Pricing,"Per-player surcharge (e.g. Pickleball Junction: ₱800 base + ₱100 per extra player) — pricing model must support add-on-per-head, not just flat court rate",Must have,Target-venue dependent,Pricing engine needs base rate + per-additional-player charge as a configurable rule,Product+Dev,Done,DONE,
Pricing,Base court price (default hourly rate per court),Must have,Yes,Initial owner app,Product,Done,DONE,
Pricing,Time-based pricing (e.g. price changes after 6 PM),Must have,Yes,"Configurable per court, tied to schedule",Product,Done,DONE,
Pricing,Day-based pricing (weekday vs weekend vs holiday),High,No,Near-term,Product,Done,DONE,
Pricing,Member pricing (special rate for venue members),High (if target uses memberships),Target-venue dependent,Member-tier rate override,Product,Done,DONE,
Pricing,Court-specific price overrides,Must have,Yes,"Pricing tied to court level, not venue level",Dev,Done,DONE,
Pricing,Manual surge adjustment (owner raises/lowers specific slots),High,No,Near-term,Product,Done,DONE,
Pricing,Suggested dynamic pricing (demand-based recommendation),Roadmap,No,After enough data; owner stays in control,Product,Done,DONE — PricingSuggestionsCard + getSuggestedPricing API fully built; was mislabeled Deferred,
Pricing,Automated dynamic pricing (opt-in),Later roadmap,No,Opt-in only,Product,Deferred,NOT STARTED — no auto-apply cron/scheduler; owner must manually review & apply suggestions,
Pricing,"Currency, VAT/tax handling, and whether displayed price is inclusive",High,Yes,PH prices usually VAT-inclusive; confirm display convention,Product,Done,DONE,
Pricing,Deposit vs full payment vs pay-at-venue at checkout,Must have,Yes,Decide first-demo payment flow,Product+Dev,Done,DONE,
Pricing,7% player service fee display (one fee shown; PayMongo 2.5% buried inside),Must have,Yes,Player sees single fee; net ~4.3%,Product,Done,DONE,
Pricing,Half-court / split-court pricing (some venues rent half a court),Medium,Target-venue dependent,Court model may need sub-court units,Dev,Done,DONE,
Pricing,Open-play / per-session pricing vs whole-court block,High,Confirm with Emmanuel,Is open-play booking live at launch or Phase 2?,Product,Done,DONE,
Pricing,Equipment/paddle rental add-ons,Medium,No,Add-on line items at checkout,Product,Done,DONE,
Booking,"Manual booking/blocking for phone, Messenger, IG, walk-ins",Must have,Yes,Scheduler must allow staff to block slots from outside channels,Dev,Done,DONE,
Booking,"Auto-generated booking link (system-created, optional custom slug)",Must have,Yes,Platform handles uniqueness/routing,Dev,Done,DONE,
Booking,"Manual vs automatic approval, configurable per venue/court",High,Yes,Support both modes clearly,Dev,Done,DONE,
Booking,"Recurring bookings (weekly regulars, leagues)",High,No,Common in PH open-play culture,Dev,Done,DONE,
Booking,Double-booking collision handling for Group B venues already on software,Must have,Yes,Start Group B at Level 2 (request-to-approve) not Level 3,Product+Dev,Done,DONE,
Booking,"Cancellation & refund rules (window, fees, no-show policy)",High,Yes,Owner-configurable cancellation policy,Product,Done,DONE,
Booking,"Booking modification (reschedule, change court)",Medium,No,Edit existing booking,Dev,Done,DONE,
Booking,Overbooking / waitlist for full slots,Medium,No,Capture demand on full slots,Product,Done,DONE,
Booking,Buffer/turnover time between bookings,Medium,No,Optional gap per court,Dev,Done,DONE,
Venue Setup,Address autocomplete + auto-geocoding (no manual map pin),High,Yes,Google Business Profile-style setup,Dev,Done,DONE,
Venue Setup,Multiple venues per owner,Must have,Yes,Owner > Venue hierarchy,Dev,Done,DONE,
Venue Setup,Multiple courts per venue,Must have,Yes,Venue > Court hierarchy,Dev,Done,DONE,
Venue Setup,"Court details: surface, photos, thumbnail, description",Must have,Yes,Court-level metadata,Dev,Done,DONE,
Venue Setup,Operating hours / availability per court,Must have,Yes,Schedule config per court,Dev,Done,DONE,
Venue Setup,Separate venue website field vs platform booking link,Must have,Yes,Two distinct fields,Dev,Done,DONE,
Venue Setup,Profile completion prompts,Medium,No,Encourage complete listings,Product,Done,DONE,
Venue Setup,"Amenities/facilities (parking, showers, aircon, lighting, indoor/outdoor)",Medium,No,Filterable attributes for player search/SEO,Product,Done,DONE,
Venue Setup,Venue claim flow (claim unclaimed directory listing),High,No,Core to SEO directory strategy,Product+Dev,Done,DONE,
Multi-Sport,Court sport/type field in data model,Strategic,Data model: Yes; UI: TBD,Don't block multi-sport; court has sport field,Dev,Done,DONE — sport field + 6-sport picker in CourtsEditorTab,
Multi-Sport,Should multi-sport be visible in first demo or only in data model?,Strategic,Open question,Decide demo scope,Product,Open,NOT STARTED — data model done but player-facing UI visibility not yet decided,
Dashboard,"Owner view: revenue, occupancy, business performance",Must have,Yes,Owner-focused metrics,Product,Done,DONE,
Dashboard,"Operator/staff view: today's schedule, pending approvals, manual entries, cancellations",High,Yes,Distinguish owner vs operator roles,Product,Done,DONE,
Dashboard,"Who is primary dashboard user: owner, manager, front-desk, or all? Multiple users, different levels of access?",High,Yes,Role-based views,Product,Done,DONE,
Analytics,Busiest hours / underused slots / revenue by court,Roadmap,No,First actionable analytics layer,Product,Done,DONE — 7×24 peak hours heatmap + occupancy % + revenue-by-court in InsightsTab; was mislabeled Deferred,
Analytics,Minimum credible analytics view before owner demo,High,Yes,Define MVP analytics,Product,Done,DONE — 6-section InsightsTab (Revenue/Bookings/Usage/Courts/Demand/Leakage),
Analytics,"Demand data capture (searches, views, attempts, completions, cancellations, empty slots)",High,No,Foundation for future dynamic pricing,Dev,Done,DONE,
Content,Platform-curated highlights (not owner-invented claims),Medium,No,From PB data or editorial review,Product,Open,NOT STARTED — no implementation found,
Access,Multi-user/staff accounts per venue with permissions,High,No,Owner vs staff roles & permissions,Dev,Done,DONE,
Access,Owner identity verification / anti-fraud on venue claim,Medium,No,Prevent false claims,Product,In Progress,PARTIAL — claim form captures legalName/role/contact + file upload but no KYC-level ID verification (no govt ID validation, selfie/liveness check),
Payments,Payout schedule & reconciliation to venue (how/when venues get paid),High,Yes,PayMongo/Xendit split-payment to venue,Product+Dev,Done,DONE,
Payments,BIR-compliant receipts / official receipt generation,High,No,Part of free SaaS offer,Dev,In Progress,PARTIAL — model + auto-generated OR numbers (OR-{venueCode}-YY-{seq}) + VAT breakdown (12%) + payor TIN fields exist; no PDF generation, no printable receipt, no player-facing receipt viewer/download,
Payments,"Cash booking leakage mitigation (slots published, POS routing)",High,No,Accept 30-40% leakage; mitigate via speed + POS,Product,In Progress,PARTIAL — LeakageTab measures leakage funnel (analytics); no active POS routing or speed mitigation built,
Notifications,Push notifications (APNs/FCM) for booking confirmations & rebook loop,High,No,Capacitor wrappers enable native push,Dev,In Progress,PARTIAL — Web Push via VAPID fully working (service worker + subscription + server send); no FCM/APNs native push, no Capacitor wrapper,tested
Comms,In-app messaging or inquiry handling owner-to-player,Medium,No,Replaces Messenger/IG coordination,Product,Done,DONE,
Process,Map owner features by priority (must-have vs roadmap),Must have,Yes,Feature-priority matrix,Product+Dev,Done,DONE,
Process,"Research first target venues (systems used, membership needs)",Must have,Yes,Know requirements before demo,Business/Dev,Done,DONE,
Process,Schedule recurring demo reviews,High,No,Correct product mid-build,Project lead,Open,NOT STARTED — process item,
