Field,Description,Technical Detail,Notes
App Name,PicklePlay,"Name appears in the top bar, login hero, and PWA manifest.",Branded as a pickleball discovery and social play app.
Workspace,Source code location for the active app.,/var/public/pickleplay/app,Documentation is based on this checkout.
App Type,Mobile-first progressive web app for pickleball players.,React single page app built with Vite and installed-capable PWA configuration.,UI is optimized around phone-sized screens but uses responsive desktop constraints.
Primary Purpose,"Help users discover courts, find games, create games, invite players, and join clubs.",Main flows are implemented as separate screen components under src/screens.,Current implementation behaves like a product prototype with mock data.
Target Users,"Recreational pickleball players, club members, game organizers, and players looking for venues.","Domain entities include Court, Game, Club, User, and Message.",The app centers on local play coordination rather than tournament administration.
Frontend Stack,Modern React and TypeScript application.,"React 19, TypeScript, Vite, Tailwind CSS v4, lucide-react, Leaflet, React Leaflet, Zustand dependency.",Zustand and React Router are installed but the current app mainly uses local React state routing.
PWA Configuration,Supports installable standalone app behavior.,"vite-plugin-pwa manifest includes app icons, portrait orientation, standalone display, and auto-update service worker registration.",Runtime cache is configured for OpenStreetMap tile assets.
Navigation Model,App state determines the active screen instead of browser URL routes.,"src/App.tsx defines the Screen union, navigate, goBack, tab handling, login flow, and onboarding flow.",Browser deep-linking is not currently represented in the route model.
Main Tabs,Persistent bottom navigation for the core authenticated app.,"Tabs: Home, Nearby, Games, Clubs, Profile.","Login, onboarding, search, notifications, and filter screens hide the main chrome."
Global Actions,"App-wide shortcuts for search, notifications, and game creation.",Top bar exposes search and notifications; FAB opens create-game on Home and Games.,Top bar is hidden for modal/fullscreen utility screens.
Authentication,Demo login state controls access to the app.,isLoggedIn state in src/App.tsx; login success routes to onboarding or home.,No backend auth call is wired in the current screen implementation.
Onboarding,First-session setup collects player readiness information.,Local onboarding state includes location and skill-level step UI.,Completion toggles needsOnboarding false in memory only.
Data Source,Screens use locally defined demo arrays and local component state.,Shared interfaces live in src/lib/types.ts; screen cards currently do not fetch from API endpoints.,Backend integration remains a future implementation layer.
API Proxy,Development proxy exists for future API calls.,Vite proxies /api to http://localhost:3001.,No active screen data loader was found using this proxy.
Map Integration,Nearby discovery uses map/list presentation.,Leaflet and React Leaflet render Austin-centered map data and support locate behavior.,User geolocation is invoked through Leaflet map.locate().
Visual System,Playful sports/social UI with bold color accents.,"Tailwind theme defines electric blue primary, neon lime secondary, coral tertiary, surface hierarchy, typography, spacing, and shadows in src/index.css.","Design language uses rounded chips/buttons, cards, bottom tabs, and mobile touch targets."
Domain Coverage,"The app models venues, players, games, clubs, and messages.","Type definitions cover court metadata, user profile, game scheduling, club membership, and message records.",Types are ready for API-backed entities but sample UI still uses static objects.
Build Commands,Standard Vite development and production scripts.,"npm run dev, npm run build, npm run lint, npm run preview.",npm run build runs TypeScript build before Vite bundling.
Dev Server,Local development server configuration.,"Port 9000, host 0.0.0.0, allowed host pickleplay-pwa.eunika.xyz.",Useful for previewing from the configured external hostname.
Current Status,Feature-complete prototype shell with strong UI coverage.,"Major user journeys are present, but persistence, real search, real filters, auth, and backend mutation are not wired.",Treat as frontend prototype documentation unless backend work is later connected.
