Area,Current Behavior,Gap,Recommended Next Step,Priority,Related Files
Authentication,Login is local and accepts form submission without backend validation.,"No real user identity, token, session refresh, or auth errors.",Add auth API integration and persisted session bootstrap.,High,"src/App.tsx, src/screens/LoginScreen.tsx"
Onboarding Persistence,Onboarding completion is stored in memory.,Reloading or new sessions cannot reliably know completion state.,Store onboarding fields on User and load them after login.,High,"src/App.tsx, src/screens/OnboardingScreen.tsx, src/lib/types.ts"
Game Data,Game lists and detail pages use static arrays.,"No live availability, real participant counts, or per-ID detail loading.",Add game list/detail API hooks and loading/error states.,High,"src/screens/GamesScreen.tsx, src/screens/GameDetailsScreen.tsx"
Game Creation,Create game form only shows a success state.,New games are not persisted and placeholder ID new is used.,Submit to backend and route with returned game ID.,High,src/screens/CreateGameScreen.tsx
Join Game,Join/leave toggles local button state.,Participant status is not saved or shared across screens.,Add join/leave endpoint and refresh currentUserStatus.,High,"src/screens/GameDetailsScreen.tsx, src/lib/types.ts"
Court Search,Nearby court data is static and Austin-centered.,No real geospatial search or user-location filtering.,"Connect court search API using lat/lng, filters, and radius.",High,"src/screens/NearbyScreen.tsx, src/screens/NearbyFiltersScreen.tsx"
Filters,Filter screens display options but do not apply selections.,Users expect filtered results after tapping apply.,Add filter state model and pass query parameters to list screens.,Medium,"src/screens/GameFiltersScreen.tsx, src/screens/NearbyFiltersScreen.tsx"
Search,Search results are static.,Query text does not call a search backend or update results dynamically.,Add debounced search endpoint with categories and empty/loading/error states.,Medium,src/screens/SearchScreen.tsx
Club Membership,Join club buttons are presentational.,"Membership is not created, removed, or reflected in counts.",Add join/leave club mutation and member count refresh.,Medium,"src/screens/ClubsScreen.tsx, src/screens/ClubDetailsScreen.tsx"
Club Creation,Create club form only uses local state.,New club records are not persisted.,Add create-club API and route to returned club ID.,Medium,src/screens/CreateClubScreen.tsx
Chat,Game and club chat areas use static messages.,"No real conversations, message sending, or live updates.",Add message API or realtime channel after core game/club entities are live.,Medium,"src/screens/GameDetailsScreen.tsx, src/screens/ClubDetailsScreen.tsx"
Notifications,Notification list is static with local read state.,"No server-side inbox, push delivery, or durable read status.",Add notification API and optional Web Push integration.,Medium,src/screens/NotificationsScreen.tsx
Profile Editing,Edit profile form does not persist.,Profile changes disappear after screen remount/reload.,Connect update-profile endpoint and shared user store.,Medium,"src/screens/EditProfileScreen.tsx, src/screens/ProfileScreen.tsx"
Settings Routes,Some settings row IDs may not map to implemented screens.,Tapping placeholder rows can navigate to default fallback behavior.,Add settings detail screens or disable unavailable rows.,Low,"src/screens/SettingsScreen.tsx, src/App.tsx"
URL Deep Linking,Navigation is state-only.,Browser refresh loses screen context and external links cannot target entities.,Introduce route definitions with React Router or another route layer.,Medium,src/App.tsx
Shared UI Consistency,Many screens use custom button/card/chip classes directly.,Shared primitives exist but are not consistently adopted.,"Incrementally replace repeated patterns with Button, Card, and Chip.",Low,"src/components/ui, src/screens"
