Screen/Page,Screen ID,File,Primary Purpose,Main Content,Key Actions,Navigation/Dependencies,Data and State,Implementation Notes
Login,login,src/screens/LoginScreen.tsx,Authenticates the user into the prototype.,"PicklePlay branding, email field, password field, visibility toggle, submit button, social login buttons.","Sign in, toggle password visibility, choose social login placeholder.",Calls onLoginSuccess; App.tsx handles onboarding/home route selection.,Local form submit only.,"No API call, validation service, or persisted token is wired."
Onboarding,onboarding,src/screens/OnboardingScreen.tsx,Collects initial player context before showing the main app.,"Three steps: welcome, play location, skill level.","Continue, select skill, skip for now, complete.",onComplete sets onboarding done and routes to Home.,Local step and skill state.,"Useful future fields: home location, skill level, onboarding completed flag."
Home,home,src/screens/HomeScreen.tsx,Provides the default player dashboard.,"Greeting, quick actions, featured game, discover game cards, streak/progress prompt.","Open nearby courts, view games, browse clubs, create a game, open game details.",Uses onNavigate for all downstream flows.,Static quickActions and demoGames.,First tab screen after onboarding or returning login users.
Nearby,nearby,src/screens/NearbyScreen.tsx,Lets users browse local courts and nearby game opportunities.,"Courts/games segmented tabs, filter chips, list/map toggle, court list, Leaflet map, missing-court CTA.","Toggle court/game tab, open filters, switch view mode, locate user, open court details.","Depends on Leaflet and React Leaflet; routes to nearby-filters, court-details, and games.",Static demoCourts; local activeTab and viewMode.,Austin coordinates are used as demo center.
Games,games,src/screens/GamesScreen.tsx,Lists games grouped by user relationship and schedule.,"My Games, Upcoming, Completed tabs, date chips, game cards.","Change tab, select date chip, open filters, open game detail.",Routes to game-filters and game-details.,"Static myGames, upcomingGames, completedGames; local active tab/date.",Date chip selection is visual state and does not currently filter data.
Clubs,clubs,src/screens/ClubsScreen.tsx,Shows clubs the user belongs to and clubs to discover.,"My Clubs section, featured Kitchen Kings card, nearby club cards, create-club callout.","Open club details, join club, explore, create club.",Routes to club-details and create-club.,Static myClubs and discoverClubs.,Join buttons are presentational.
Profile,profile,src/screens/ProfileScreen.tsx,Shows the current player's account and play summary.,"Avatar, name, location, skill badge, stat cards, settings rows, logout button.","Edit profile, open settings/notifications, logout.","Routes to edit-profile, settings, and notifications; logout resets app state.",Static player profile and local navigation.,Useful account hub for future API-backed preferences.
Game Details,game-details,src/screens/GameDetailsScreen.tsx,Provides full context for one play session.,"Title, date/time, skill, players, organizer, court card, description, player avatars, chat.","Join/leave, invite players, open court, send chat placeholder.",Routes to invite-players and court-details.,Static detail; local joined state.,Receives optional gameId prop but does not fetch by ID.
Court Details,court-details,src/screens/CourtDetailsScreen.tsx,Provides venue details and related games.,"Court hero, favorite button, address/rating, actions, amenities, games this week.","Open directions, view games, share, favorite placeholder, open game detail.",Opens external Google Maps placeholder; routes to games and game-details.,Static court detail.,Receives optional courtId prop but does not fetch by ID.
Club Details,club-details,src/screens/ClubDetailsScreen.tsx,"Presents club profile, membership content, and lightweight chat.","Club hero, join/share buttons, About, Rules, Events, Members, Chat tabs.","Switch tab, join club, share, type chat message placeholder.",Internal tab state; no external data dependency.,"Static club details, member list, and messages.",Receives props but currently ignores them.
Create Game,create-game,src/screens/CreateGameScreen.tsx,Lets users create a new scheduled game.,"Form fields for title, court, date/time, skill range, player limit, visibility, description.","Submit, view created game, invite players.",Success routes to game-details or invite-players with placeholder ID.,Local form and success state.,No validation or backend mutation beyond normal HTML field behavior.
Create Club,create-club,src/screens/CreateClubScreen.tsx,Lets users create a new pickleball club.,"Multi-step club form with name, description, visibility, skill range, rules, and success screen.","Continue, back, create club, view club.",Success routes to club-details or back.,"Local form, step, visibility, and success state.",Good candidate for backend create-club endpoint integration.
Edit Profile,edit-profile,src/screens/EditProfileScreen.tsx,Allows user profile editing.,"Avatar edit affordance, name, bio, city, skill level.","Save changes, change avatar placeholder.",Save calls back navigation.,Local form state.,No persistence; values reset on remount.
Settings,settings,src/screens/SettingsScreen.tsx,Groups account-level controls and support links.,"Account, Privacy, Notifications, Support sections with row actions.","Open setting rows, logout.",Row actions call onNavigate(item.id); logout resets session.,Static settings section definitions.,Some setting IDs may not map to implemented screens yet.
Search,search,src/screens/SearchScreen.tsx,Provides full-screen search across app entities.,"Search input, recent searches, categorized results for courts/games/clubs/players.","Type search, clear, select recent term, open result, cancel.",Result selection routes to detail pages based on result type.,Static result catalog and query state.,No debounce or API search layer.
Invite Players,invite-players,src/screens/InvitePlayersScreen.tsx,Lets organizers invite people to a game.,"Share link block, suggested player list, selected state, success confirmation.","Select players, cancel, send invites, return to game.",Success routes to game-details with placeholder ID.,Static suggested players and local selected set.,Receives optional gameId prop but does not load game details.
Notifications,notifications,src/screens/NotificationsScreen.tsx,Displays user activity and reminders.,"Notification cards with type icon, title, body, timestamp, read/unread state.","Mark all read, open notification target, go back.",Click behavior can navigate to related detail screens.,Static initialNotifications; local read state.,Good future integration point for push notifications.
Nearby Filters,nearby-filters,src/screens/NearbyFiltersScreen.tsx,Captures user preferences for court discovery.,"Court type, access, number of courts, surface, amenities, reset/apply controls.","Reset placeholder, apply filters.",Apply calls onBack.,No selected filter state beyond static selected styling.,Needs state model and query integration before production use.
Game Filters,game-filters,src/screens/GameFiltersScreen.tsx,Captures user preferences for game discovery.,"Skill level, game type, day, time of day, distance, reset/apply controls.","Reset placeholder, apply filters.",Apply calls onBack.,No selected filter state beyond static selected styling.,Needs state model and query integration before production use.
